name,latlon
Mississippi State University Greenhouse Complex,"33.452916,-88.794663"
Master Gardener Memorial Garden,"33.461646,-88.818216"
Fountain at the Pointe,"33.451083,-88.778903"
Adaton Playground,"33.474562,-88.918618"
Webster Memorial Overlook,"33.269357,-88.783228"
Moseley Hall,"33.450393,-88.79142"
Longview Baptist Church ,"33.4063,-88.922669"
Veterans Honor Garden,"33.426769,-88.775099"
Moncrief Picnic Shelter,"33.469723,-88.812668"
Chick Fila Starkville Baseball Field,"33.445791,-88.833114"
"J. L. King, Sr. Memorial Park","33.469553,-88.82631"
CornerStone Baptist Church,"33.493003,-88.790979"
Historic Nash Street,"33.462542,-88.804365"
Truth Tabernacle Church,"33.476457,-88.743325"
Cullis & Gladys Wade Clock Museum ,"33.456224,-88.795284"
First Assembly Of God Church,"33.459891,-88.821756"
Faith Baptist Church,"33.409726,-88.810234"
Starkville Rotary Club Baseball Field,"33.445508,-88.83106"
Mississippi State Trial Garden,"33.472187,-88.786399"
Little Library and Bench,"33.444528,-88.821823"
Dorman Hall,"33.454085,-88.794255"
Basketball Court at The Social Block,"33.450331,-88.807245"
Batting Cage 1,"33.445413,-88.833826"
Starkville Church of God,"33.448197,-88.809897"
Mississippi State University Entrance on East Lee Boulevard,"33.456404,-88.784773"
Little Library,"33.424915,-88.815788"
Purpose For Praise Ministry,"33.43826,-88.875461"
Musical Play At The J. L. King Park,"33.470265,-88.826265"
Classic Truck Mural,"33.463138,-88.814108"
Brush Arbor Cemetery,"33.462768,-88.805541"
Mississippi Agricultural & Forestry Experiment Station,"33.453726,-88.794924"
Aldersgate United Methodist Church,"33.474224,-88.812849"
Lala's Umbrella Grove,"33.456012,-88.807576"
Starkville Community Market Mural,"33.463128,-88.81437"
Barn Quilt Trail Sign,"33.441057,-88.830731"
Sand Creek Chapel Missionary Baptist Church,"33.516605,-88.805696"
Emmanuel Baptist Church,"33.439853,-88.870244"
Dr. Ray Watson Memorial Trail ,"33.270493,-88.783166"
Mississippi Entomology Museum,"33.453692,-88.801261"
James William Mills Memorial,"33.455278,-88.786962"
Patterson Engineering Laboratories,"33.454062,-88.787146"
Oktoc Water Tower,"33.396293,-88.777352"
Greater Ebenezer Baptist Church,"33.439893,-88.780786"
Nucor Pavilion,"33.444014,-88.844702"
McKee Park Tennis Courts,"33.444989,-88.83197"
High Performance Computong Collaboratory at Mississippi State University,"33.473334,-88.79049"
Dedicated 4H Flagpole,"33.455042,-88.791934"
Spinning Feather Sculpture,"33.462627,-88.81702"
Freeman Hall,"33.457228,-88.791821"
Capt. Put Darden Memorial,"33.453611,-88.791242"
Wesley Community Church,"33.440242,-88.82838"
Industrial Education,"33.452459,-88.786822"
Starkville Public Library,"33.463548,-88.810609"
Sanderson Center Get Moving Artwork,"33.461605,-88.790467"
"J. L. King, Sr. Disc Golf Course","33.471334,-88.824267"
Victory Center Cross,"33.449423,-88.822769"
Lois Dowdle Cobb Museum of Archaeology ,"33.4546,-88.787866"
Needmore Community,"33.45678,-88.806354"
MSU Flagpole,"33.453569,-88.789449"
Sportsplex Pedestrian Bridge 2,"33.440494,-88.831995"
Moncrief Park Playground Equipment ,"33.469978,-88.812659"
Old Borden Milk Plant,"33.462506,-88.810275"
Clock Tower,"33.453657,-88.818748"
James Walter Boyd Memorial,"33.451267,-88.790876"
Starkvegas Mural,"33.457974,-88.804042"
Rodney Foil Plant Research Center,"33.470723,-88.780965"
New Hope Baptist Church,"33.429615,-88.913485"
Rusty the Dog,"33.445772,-88.798363"
Petty's Barbeque,"33.454184,-88.81429"
MSU Armed Forces Flag Display,"33.449636,-88.79202"
Cullis-Wade Depot,"33.456392,-88.795749"
La Terraza Mexican Restaurant,"33.452052,-88.817984"
MSU Water Tower,"33.445014,-88.794037"
Swalm Chemical Engineering Building,"33.452678,-88.789826"
Historic Cotton District,"33.460719,-88.802349"
Gazebo At Starkville Church Of Christ,"33.460482,-88.783999"
MSU Art Gallery,"33.450567,-88.7905"
City of Starkville,"33.468723,-88.816621"
Sportsplex Pedestrian Bridge,"33.439696,-88.829206"
Sudduth Leadership Pavilion,"33.476771,-88.812751"
Starkville City Hall,"33.463757,-88.817405"
Sanderson Center Outdoor Workout Equipment,"33.463113,-88.789788"
Sudduth Walking Track,"33.476224,-88.811162"
Crossgates Basketball Court,"33.454664,-88.847828"
The Statue of Knowledge,"33.452734,-88.789035"
Man in the Wall at Briscoe Hall,"33.457764,-88.791882"
Niles R and Mary Lynn Mosely Plaza,"33.452276,-88.787794"
Starkville Community Theater,"33.463724,-88.815934"
Lampkin Street Mural,"33.462797,-88.81746"
Overstreet School District,"33.459569,-88.8137"
The Moon Sycamore,"33.454757,-88.794548"
Meadowview Baptist Church,"33.450513,-88.826484"
Sportsplex/Mckee Park Bridge,"33.442433,-88.831775"
Institute for Clean Energy Technology,"33.472314,-88.794613"
Mount Peiler Baptist Church,"33.478884,-88.814337"
Victory Apostolic Faith Church #2,"33.474464,-88.756851"
Hull Hall B Side Bully,"33.456131,-88.791282"
Fountain at the Links,"33.439838,-88.863245"
Batting Cage 2,"33.443881,-88.83387"
WWI Memorial,"33.455149,-88.788358"
Avalon Tennis Court,"33.456798,-88.851433"
Adaton United Methodist Church ,"33.481558,-88.919117"
Sam D. Hamilton Noxubee National Wildlife Refuge,"33.272056,-88.779403"
The Music Trail In McKee Park,"33.445926,-88.831964"
The Bent,"33.454308,-88.788683"
East Sand Creek M. B. Church,"33.476662,-88.670176"
Dobbs Park ,"33.475713,-88.74326"
The Wooden Wall,"33.437434,-88.830558"
Starkville Fire Department,"33.43642,-88.845236"
AJ Pitts Tennis Center,"33.465787,-88.792351"
Sigma Alpha Epsilon Lion Statue,"33.455126,-88.797215"
Main Starkville Water Tower,"33.449053,-88.805886"
Starkville Community Church (SBC),"33.442524,-88.837666"
MSU Trial Garden Bell,"33.472178,-88.785016"
Starkville Parks And Recreation Water Tower,"33.437149,-88.827563"
First Presbyterian Church Starkville,"33.463995,-88.812651"
Starkville Fire Department,"33.442334,-88.810677"
Big Joe Williams,"33.30151,-88.6217"
Dunn-Seiler Geology Museum,"33.455582,-88.786735"
Starkville Fire Department,"33.484054,-88.815732"
Fisher Gardens ,"33.458546,-88.797316"
Triangle Federal Credit Union Soccer Field,"33.439974,-88.830898"
Starkville Sportsplex,"33.441202,-88.829284"
Fellowship Baptist Church,"33.470331,-88.728742"
Wind Powered Kinetic Sculpture,"33.451687,-88.822047"
J. L. King Park Splash Pad,"33.469864,-88.825957"
Adam Kazery Memorial,"33.453075,-88.789905"
Connection,"33.462651,-88.816574"
Moore Hall,"33.457649,-88.790879"
New Covenant Church,"33.484104,-88.821656"
Tennis Courts at Campus Trails,"33.452168,-88.782099"
Second Baptist Church,"33.458387,-88.819172"
Frank Turman Field House,"33.455539,-88.793901"
Mississippi State University,"33.455546,-88.790393"
Roberts Building ,"33.455073,-88.78617"
New Horizons Christian Church ,"33.446686,-88.818226"
Georgia Blue Bulldog,"33.462356,-88.813798"
Eckford's Arch,"33.475773,-88.82214"
Vibrant Church West,"33.48133,-88.571989"
Mize Pavilion ,"33.460855,-88.79398"
Lindsey Soccer Pavilion,"33.43862,-88.830661"
First Baptist Church,"33.462611,-88.815725"
Mississippi State Research Park Climbing Tower,"33.471048,-88.787662"
MSU Community Garden,"33.453145,-88.79694"
First Church Of Christ Holiness,"33.458298,-88.806736"
Cowbell Patent,"33.463905,-88.799774"
Ralph E. Powe Center,"33.472013,-88.792575"
Down To Game,"33.45855,-88.783284"
